id_transaccion,id_cliente,fecha_compra,categoria_prod,precio_bruto,descuento_aplicado,metodo_pago,edad_cliente,estado_cliente,precio_final
112244,12062,2024-01-01,Moda,593.3,0.05,Efectivo,65,Activo,563.6349999999999
122128,12592,2024-01-01,Hogar,950.13,0.2,Efectivo,35,Activo,760.104
149850,12524,2024-01-01,Deportes,326.35,0.0,Transferencia,65,Activo,326.35
143164,14200,2024-01-01,Moda,206.34,0.0,Transferencia,65,Activo,206.34
124489,13077,2024-01-01,Audio,361.01,0.05,Billetera Digital,35,Activo,342.9595
142071,14399,2024-01-01,Hogar,457.85,0.05,Efectivo,22,Activo,434.9575
145992,11026,2024-01-01,Audio,121.77,0.05,Efectivo,35,Activo,115.68149999999999
104856,13561,2024-01-01,Hogar,245.76,0.0,Billetera Digital,65,Activo,245.76
116325,12506,2024-01-01,Hogar,123.45,0.0,Billetera Digital,42,Activo,123.45
113862,10987,2024-01-01,Audio,1384.7,0.05,Billetera Digital,65,Activo,1315.465
125575,14588,2024-01-01,Electro,233.83,0.05,Efectivo,28,Activo,222.1385
122296,13653,2024-01-01,Moda,601.2,0.0,Billetera Digital,42,Activo,601.2
102673,11466,2024-01-01,Hogar,435.99,0.0,Billetera Digital,22,Activo,435.99
136114,14142,2024-01-01,Electro,547.44,0.2,Tarjeta de Crédito,35,Activo,437.95200000000006
129204,14638,2024-01-01,Deportes,477.84,0.0,Billetera Digital,22,Activo,477.84
145667,11955,2024-01-01,Deportes,342.12,0.0,Transferencia,42,Activo,342.12
105152,10242,2024-01-01,Moda,259.72,0.0,Tarjeta de Crédito,22,Activo,259.72
118569,13314,2024-01-01,Deportes,467.03,0.0,Transferencia,28,Activo,467.03
108180,14834,2024-01-01,Hogar,173.04,0.0,Efectivo,22,Activo,173.04
142956,12762,2024-01-01,Electro,359.5,0.1,Transferencia,42,Activo,323.55
116807,11375,2024-01-01,Deportes,512.91,0.0,Billetera Digital,28,Activo,512.91
138977,14349,2024-01-01,Moda,565.14,0.0,Transferencia,28,Activo,565.14
130019,13235,2024-01-01,Moda,318.54,0.0,Transferencia,35,Activo,318.54
119050,13254,2024-01-01,Audio,317.8,0.0,Billetera Digital,35,Activo,317.8
106830,13117,2024-01-01,Deportes,802.13,0.0,Transferencia,55,Activo,802.13
141885,12571,2024-01-01,Deportes,443.85,0.2,Efectivo,55,Activo,355.08000000000004
123740,10496,2024-01-01,Audio,396.64,0.1,Efectivo,65,Activo,356.976
101856,14760,2024-01-01,Hogar,388.67,0.2,Efectivo,35,Activo,310.93600000000004
102287,11368,2024-01-01,Electro,170.31,0.0,Efectivo,35,Activo,170.31
109948,14857,2024-01-01,Deportes,241.98,0.2,Tarjeta de Crédito,28,Activo,193.584
103946,14590,2024-01-01,Audio,356.52,0.05,Billetera Digital,42,Activo,338.69399999999996
149765,14142,2024-01-01,Audio,405.22,0.05,Transferencia,28,Activo,384.959
120116,13748,2024-01-01,Audio,147.44,0.0,Billetera Digital,42,Activo,147.44
110066,12910,2024-01-01,Deportes,573.11,0.2,Transferencia,35,Activo,458.48800000000006
119312,12687,2024-01-01,Audio,605.39,0.2,Tarjeta de Crédito,35,Activo,484.312
133427,10303,2024-01-01,Audio,343.09,0.2,Transferencia,42,Activo,274.472
146567,11252,2024-01-01,Moda,293.26,0.05,Billetera Digital,22,Activo,278.597
146563,12899,2024-01-01,Hogar,580.55,0.0,Efectivo,42,Activo,580.55
116550,13805,2024-01-01,Audio,442.99,0.0,Efectivo,35,Activo,442.99
132489,12124,2024-01-01,Electro,189.8,0.0,Tarjeta de Crédito,22,Churn,189.8
119562,12645,2024-01-01,Audio,578.43,0.0,Tarjeta de Crédito,28,Activo,578.43
132149,13971,2024-01-01,Audio,211.4,0.0,Efectivo,42,Churn,211.4
107725,14278,2024-01-01,Deportes,456.08,0.0,Transferencia,35,Activo,456.08
109655,12018,2024-01-01,Deportes,588.91,0.1,Billetera Digital,35,Activo,530.019
135292,12078,2024-01-01,Moda,391.23,0.2,Efectivo,28,Activo,312.98400000000004
143321,10702,2024-01-01,Deportes,578.87,0.05,Billetera Digital,55,Activo,549.9265
146339,10724,2024-01-01,Electro,830.97,0.05,Efectivo,42,Activo,789.4215
124670,11783,2024-01-01,Electro,113.35,0.05,Billetera Digital,35,Activo,107.68249999999999
136811,10826,2024-01-01,Audio,685.08,0.0,Tarjeta de Crédito,42,Churn,685.08
109509,13670,2024-01-01,Deportes,308.29,0.0,Transferencia,22,Activo,308.29
111850,14589,2024-01-01,Moda,612.81,0.0,Efectivo,35,Activo,612.81
118988,11287,2024-01-01,Deportes,347.06,0.05,Tarjeta de Crédito,28,Activo,329.707
103717,11473,2024-01-01,Deportes,577.57,0.0,Transferencia,65,Activo,577.57
118209,12167,2024-01-01,Hogar,174.66,0.0,Billetera Digital,35,Activo,174.66
145989,14887,2024-01-01,Deportes,635.93,0.05,Transferencia,22,Activo,604.1334999999999
102927,13219,2024-01-01,Deportes,262.35,0.0,Efectivo,42,Activo,262.35
108356,14677,2024-01-01,Deportes,317.59,0.05,Efectivo,22,Activo,301.71049999999997
112572,13333,2024-01-01,Hogar,283.17,0.05,Tarjeta de Crédito,42,Activo,269.0115
108328,13247,2024-01-01,Deportes,586.14,0.0,Billetera Digital,35,Activo,586.14
110976,13898,2024-01-01,Deportes,232.14,0.05,Efectivo,22,Activo,220.533
139030,11312,2024-01-01,Hogar,638.33,0.1,Billetera Digital,22,Activo,574.4970000000001
142670,13015,2024-01-01,Electro,209.57,0.05,Efectivo,42,Activo,199.0915
139854,13059,2024-01-02,Deportes,535.64,0.1,Billetera Digital,42,Activo,482.076
131164,14966,2024-01-02,Deportes,268.5,0.0,Transferencia,28,Activo,268.5
123145,13334,2024-01-02,Electro,797.48,0.2,Transferencia,28,Activo,637.984
120793,14849,2024-01-02,Electro,602.86,0.0,Transferencia,28,Activo,602.86
132194,10127,2024-01-02,Electro,83.44,0.05,Efectivo,35,Activo,79.268
138393,12341,2024-01-02,Hogar,769.82,0.05,Tarjeta de Crédito,35,Churn,731.3290000000001
103631,11331,2024-01-02,Electro,413.22,0.2,Efectivo,42,Activo,330.576
114583,13036,2024-01-02,Deportes,107.03,0.0,Transferencia,22,Activo,107.03
113440,14507,2024-01-02,Audio,267.79,0.0,Efectivo,22,Activo,267.79
122913,12808,2024-01-02,Deportes,434.45,0.2,Transferencia,28,Activo,347.56
103227,14072,2024-01-02,Electro,120.67,0.0,Transferencia,35,Churn,120.67
124324,11136,2024-01-02,Moda,331.17,0.0,Transferencia,35,Activo,331.17
120376,14172,2024-01-02,Audio,252.46,0.0,Transferencia,35,Activo,252.46
126850,11518,2024-01-02,Deportes,237.84,0.0,Transferencia,35,Activo,237.84
144946,13446,2024-01-02,Audio,443.53,0.0,Billetera Digital,35,Activo,443.53
137254,11299,2024-01-02,Electro,259.61,0.0,Efectivo,55,Activo,259.61
110663,12322,2024-01-02,Electro,363.67,0.0,Billetera Digital,55,Activo,363.67
116509,13397,2024-01-02,Audio,113.87,0.0,Tarjeta de Crédito,28,Activo,113.87
149382,14532,2024-01-02,Deportes,379.46,0.05,Transferencia,35,Activo,360.48699999999997
111911,13056,2024-01-02,Moda,222.04,0.05,Efectivo,28,Activo,210.938
115982,10027,2024-01-02,Audio,68.07,0.0,Efectivo,35,Activo,68.07
124290,14694,2024-01-02,Deportes,340.57,0.2,Transferencia,55,Activo,272.456
136364,14770,2024-01-02,Moda,553.32,0.2,Tarjeta de Crédito,28,Activo,442.65600000000006
127674,10989,2024-01-02,Hogar,212.95,0.2,Transferencia,22,Activo,170.36
104712,11262,2024-01-02,Electro,458.46,0.0,Tarjeta de Crédito,42,Activo,458.46
119013,14240,2024-01-02,Audio,824.15,0.0,Tarjeta de Crédito,35,Churn,824.15
116054,12894,2024-01-02,Moda,560.49,0.0,Tarjeta de Crédito,55,Activo,560.49
123540,12028,2024-01-02,Audio,407.94,0.0,Billetera Digital,22,Activo,407.94
129027,14877,2024-01-02,Audio,158.18,0.05,Transferencia,28,Activo,150.271
148657,12073,2024-01-02,Moda,337.93,0.2,Transferencia,55,Activo,270.344
147821,12263,2024-01-02,Moda,569.13,0.0,Tarjeta de Crédito,35,Activo,569.13
104656,13308,2024-01-02,Deportes,232.27,0.0,Tarjeta de Crédito,35,Activo,232.27
136212,10263,2024-01-02,Deportes,454.76,0.2,Transferencia,42,Activo,363.808
122512,14773,2024-01-02,Audio,874.43,0.0,Efectivo,55,Activo,874.43
123836,13970,2024-01-02,Audio,491.93,0.0,Transferencia,65,Activo,491.93
113506,10842,2024-01-02,Audio,219.75,0.0,Tarjeta de Crédito,42,Activo,219.75
122750,11286,2024-01-02,Electro,602.51,0.2,Tarjeta de Crédito,28,Activo,482.00800000000004
101538,11763,2024-01-02,Deportes,154.46,0.0,Efectivo,28,Churn,154.46
115326,14691,2024-01-02,Moda,385.14,0.0,Efectivo,42,Activo,385.14
119904,12849,2024-01-02,Hogar,379.26,0.0,Transferencia,35,Activo,379.26
117299,13620,2024-01-02,Hogar,203.16,0.0,Efectivo,35,Activo,203.16
105484,12962,2024-01-02,Electro,575.16,0.0,Billetera Digital,42,Activo,575.16
115918,14499,2024-01-02,Electro,592.24,0.0,Billetera Digital,35,Activo,592.24
111338,11832,2024-01-02,Audio,669.9,0.05,Billetera Digital,35,Activo,636.405
122380,14311,2024-01-02,Electro,341.74,0.0,Efectivo,35,Activo,341.74
136963,10086,2024-01-02,Deportes,146.24,0.05,Efectivo,65,Activo,138.928
141465,10984,2024-01-02,Electro,202.94,0.0,Tarjeta de Crédito,65,Activo,202.94
120885,12077,2024-01-02,Audio,101.25,0.05,Efectivo,22,Activo,96.1875
100886,12621,2024-01-02,Deportes,231.57,0.0,Efectivo,28,Activo,231.57
108659,14424,2024-01-02,Moda,116.62,0.05,Transferencia,55,Activo,110.789
109767,11909,2024-01-02,Electro,323.5,0.2,Billetera Digital,55,Activo,258.8
131845,10927,2024-01-02,Moda,577.51,0.0,Billetera Digital,22,Activo,577.51
119858,12051,2024-01-02,Moda,1357.23,0.0,Transferencia,28,Activo,1357.23
129410,10208,2024-01-02,Hogar,222.98,0.0,Billetera Digital,28,Activo,222.98
131744,14935,2024-01-02,Audio,162.05,0.1,Efectivo,28,Activo,145.84500000000003
142756,14146,2024-01-02,Hogar,809.45,0.0,Billetera Digital,28,Activo,809.45
