id_transaccion,id_cliente,fecha_compra,categoria_prod,precio_bruto,descuento_aplicado,metodo_pago,edad_cliente
112244,12062,2024-01-01,Moda,593.3,0.05,Efectivo,65.0
122128,12592,2024-01-01,Hogar,950.13,0.2,Efectivo,35.0
149850,12524,2024-01-01,Deportes,326.35,0.0,Transferencia,65.0
143164,14200,2024-01-01,Moda,206.34,0.0,Transferencia,65.0
124489,13077,2024-01-01,Audio,361.01,0.05,Billetera Digital,35.0
142071,14399,2024-01-01,Hogar,457.85,0.05,Efectivo,22.0
145992,11026,2024-01-01,Audio,121.77,0.05,Efectivo,35.0
104856,13561,2024-01-01,Hogar,245.76,0.0,Billetera Digital,65.0
116325,12506,2024-01-01,Hogar,123.45,0.0,Billetera Digital,42.0
113862,10987,2024-01-01,Audio,1384.7,0.05,Billetera Digital,65.0
125575,14588,2024-01-01,Electro,233.83,0.05,Efectivo,28.0
122296,13653,2024-01-01,Moda,601.2,0.0,Billetera Digital,42.0
102673,11466,2024-01-01,Hogar,435.99,0.0,Billetera Digital,22.0
136114,14142,2024-01-01,Electro,547.44,0.2,Tarjeta de Crédito,35.0
129204,14638,2024-01-01,Deportes,477.84,0.0,Billetera Digital,22.0
145667,11955,2024-01-01,Deportes,342.12,0.0,Transferencia,42.0
105152,10242,2024-01-01,Moda,259.72,0.0,Tarjeta de Crédito,22.0
118569,13314,2024-01-01,Deportes,467.03,0.0,Transferencia,28.0
108180,14834,2024-01-01,Hogar,173.04,0.0,Efectivo,22.0
142956,12762,2024-01-01,Electro,359.5,0.1,Transferencia,42.0
116807,11375,2024-01-01,Deportes,512.91,0.0,Billetera Digital,28.0
138977,14349,2024-01-01,Moda,565.14,0.0,Transferencia,28.0
130019,13235,2024-01-01,Moda,318.54,0.0,Transferencia,
119050,13254,2024-01-01,Audio,317.8,0.0,Billetera Digital,
106830,13117,2024-01-01,Deportes,802.13,0.0,Transferencia,55.0
141885,12571,2024-01-01,Deportes,443.85,0.2,Efectivo,55.0
123740,10496,2024-01-01,Audio,396.64,0.1,Efectivo,65.0
101856,14760,2024-01-01,Hogar,388.67,0.2,Efectivo,35.0
102287,11368,2024-01-01,Electro,170.31,0.0,Efectivo,35.0
109948,14857,2024-01-01,Deportes,241.98,0.2,Tarjeta de Crédito,28.0
103946,14590,2024-01-01,Audio,356.52,0.05,Billetera Digital,42.0
149765,14142,2024-01-01,Audio,405.22,0.05,Transferencia,28.0
120116,13748,2024-01-01,Audio,147.44,0.0,Billetera Digital,42.0
110066,12910,2024-01-01,Deportes,573.11,0.2,Transferencia,35.0
119312,12687,2024-01-01,Audio,605.39,0.2,Tarjeta de Crédito,35.0
133427,10303,2024-01-01,Audio,343.09,0.2,Transferencia,42.0
146567,11252,2024-01-01,Moda,293.26,0.05,Billetera Digital,22.0
146563,12899,2024-01-01,Hogar,580.55,0.0,Efectivo,42.0
116550,13805,2024-01-01,Audio,442.99,0.0,Efectivo,35.0
132489,12124,2024-01-01,Electro,189.8,0.0,Tarjeta de Crédito,22.0
119562,12645,2024-01-01,Audio,578.43,0.0,Tarjeta de Crédito,28.0
132149,13971,2024-01-01,Audio,211.4,0.0,Efectivo,42.0
107725,14278,2024-01-01,Deportes,456.08,0.0,Transferencia,35.0
109655,12018,2024-01-01,Deportes,588.91,0.1,Billetera Digital,
135292,12078,2024-01-01,Moda,391.23,0.2,Efectivo,28.0
143321,10702,2024-01-01,Deportes,578.87,0.05,Billetera Digital,55.0
146339,10724,2024-01-01,Electro,830.97,0.05,Efectivo,42.0
124670,11783,2024-01-01,Electro,113.35,0.05,Billetera Digital,35.0
136811,10826,2024-01-01,Audio,685.08,0.0,Tarjeta de Crédito,42.0
109509,13670,2024-01-01,Deportes,308.29,0.0,Transferencia,22.0
111850,14589,2024-01-01,Moda,612.81,0.0,Efectivo,35.0
118988,11287,2024-01-01,Deportes,347.06,0.05,Tarjeta de Crédito,28.0
103717,11473,2024-01-01,Deportes,577.57,0.0,Transferencia,65.0
118209,12167,2024-01-01,Hogar,174.66,0.0,Billetera Digital,35.0
145989,14887,2024-01-01,Deportes,635.93,0.05,Transferencia,22.0
102927,13219,2024-01-01,Deportes,262.35,0.0,Efectivo,42.0
108356,14677,2024-01-01,Deportes,317.59,0.05,Efectivo,22.0
112572,13333,2024-01-01,Hogar,283.17,0.05,Tarjeta de Crédito,42.0
108328,13247,2024-01-01,Deportes,586.14,0.0,Billetera Digital,35.0
110976,13898,2024-01-01,Deportes,232.14,0.05,Efectivo,22.0
139030,11312,2024-01-01,Hogar,638.33,0.1,Billetera Digital,22.0
142670,13015,2024-01-01,Electro,209.57,0.05,Efectivo,42.0
139854,13059,2024-01-02,Deportes,535.64,0.1,Billetera Digital,42.0
131164,14966,2024-01-02,Deportes,268.5,0.0,Transferencia,28.0
123145,13334,2024-01-02,Electro,797.48,0.2,Transferencia,28.0
120793,14849,2024-01-02,Electro,602.86,0.0,Transferencia,28.0
132194,10127,2024-01-02,Electro,83.44,0.05,Efectivo,35.0
138393,12341,2024-01-02,Hogar,769.82,0.05,Tarjeta de Crédito,35.0
103631,11331,2024-01-02,Electro,413.22,0.2,Efectivo,42.0
114583,13036,2024-01-02,Deportes,107.03,0.0,Transferencia,22.0
113440,14507,2024-01-02,Audio,267.79,0.0,Efectivo,22.0
122913,12808,2024-01-02,Deportes,434.45,0.2,Transferencia,28.0
103227,14072,2024-01-02,Electro,120.67,0.0,Transferencia,
124324,11136,2024-01-02,Moda,331.17,0.0,Transferencia,35.0
120376,14172,2024-01-02,Audio,252.46,0.0,Transferencia,35.0
126850,11518,2024-01-02,Deportes,237.84,0.0,Transferencia,35.0
144946,13446,2024-01-02,Audio,443.53,0.0,Billetera Digital,35.0
137254,11299,2024-01-02,Electro,259.61,0.0,Efectivo,55.0
110663,12322,2024-01-02,Electro,363.67,0.0,Billetera Digital,55.0
116509,13397,2024-01-02,Audio,113.87,0.0,Tarjeta de Crédito,28.0
149382,14532,2024-01-02,Deportes,379.46,0.05,Transferencia,
111911,13056,2024-01-02,Moda,222.04,0.05,Efectivo,28.0
115982,10027,2024-01-02,Audio,68.07,0.0,Efectivo,35.0
124290,14694,2024-01-02,Deportes,340.57,0.2,Transferencia,55.0
136364,14770,2024-01-02,Moda,553.32,0.2,Tarjeta de Crédito,28.0
127674,10989,2024-01-02,Hogar,212.95,0.2,Transferencia,22.0
104712,11262,2024-01-02,Electro,458.46,0.0,Tarjeta de Crédito,42.0
119013,14240,2024-01-02,Audio,824.15,0.0,Tarjeta de Crédito,
116054,12894,2024-01-02,Moda,560.49,0.0,Tarjeta de Crédito,55.0
123540,12028,2024-01-02,Audio,407.94,0.0,Billetera Digital,22.0
129027,14877,2024-01-02,Audio,158.18,0.05,Transferencia,28.0
148657,12073,2024-01-02,Moda,337.93,0.2,Transferencia,55.0
147821,12263,2024-01-02,Moda,569.13,0.0,Tarjeta de Crédito,35.0
104656,13308,2024-01-02,Deportes,232.27,0.0,Tarjeta de Crédito,
136212,10263,2024-01-02,Deportes,454.76,0.2,Transferencia,42.0
122512,14773,2024-01-02,Audio,874.43,0.0,Efectivo,55.0
123836,13970,2024-01-02,Audio,491.93,0.0,Transferencia,65.0
113506,10842,2024-01-02,Audio,219.75,0.0,Tarjeta de Crédito,42.0
122750,11286,2024-01-02,Electro,602.51,0.2,Tarjeta de Crédito,28.0
101538,11763,2024-01-02,Deportes,154.46,0.0,Efectivo,28.0
115326,14691,2024-01-02,Moda,385.14,0.0,Efectivo,42.0
119904,12849,2024-01-02,Hogar,379.26,0.0,Transferencia,
117299,13620,2024-01-02,Hogar,203.16,0.0,Efectivo,35.0
105484,12962,2024-01-02,Electro,575.16,0.0,Billetera Digital,42.0
115918,14499,2024-01-02,Electro,592.24,0.0,Billetera Digital,35.0
111338,11832,2024-01-02,Audio,669.9,0.05,Billetera Digital,35.0
122380,14311,2024-01-02,Electro,341.74,0.0,Efectivo,35.0
136963,10086,2024-01-02,Deportes,146.24,0.05,Efectivo,65.0
141465,10984,2024-01-02,Electro,202.94,0.0,Tarjeta de Crédito,65.0
120885,12077,2024-01-02,Audio,101.25,0.05,Efectivo,22.0
100886,12621,2024-01-02,Deportes,231.57,0.0,Efectivo,28.0
108659,14424,2024-01-02,Moda,116.62,0.05,Transferencia,55.0
109767,11909,2024-01-02,Electro,323.5,0.2,Billetera Digital,55.0
131845,10927,2024-01-02,Moda,577.51,0.0,Billetera Digital,22.0
119858,12051,2024-01-02,Moda,1357.23,0.0,Transferencia,28.0
129410,10208,2024-01-02,Hogar,222.98,0.0,Billetera Digital,28.0
131744,14935,2024-01-02,Audio,162.05,0.1,Efectivo,28.0
142756,14146,2024-01-02,Hogar,809.45,0.0,Billetera Digital,28.0
136706,13616,2024-01-02,Audio,366.64,0.0,Transferencia,55.0
113543,10888,2024-01-02,Hogar,526.45,0.0,Efectivo,55.0
142566,10319,2024-01-02,Hogar,1053.43,0.05,Transferencia,28.0
109870,14760,2024-01-02,Electro,795.69,0.05,Tarjeta de Crédito,22.0
109874,14087,2024-01-02,Moda,693.83,0.05,Billetera Digital,28.0
115671,12339,2024-01-02,Audio,1087.99,0.05,Billetera Digital,
124933,13977,2024-01-02,Hogar,263.26,0.05,Billetera Digital,65.0
103888,14970,2024-01-02,Hogar,1074.57,0.0,Tarjeta de Crédito,22.0
144391,10494,2024-01-02,Moda,176.73,0.1,Efectivo,35.0
104245,12961,2024-01-02,Moda,173.99,0.05,Transferencia,22.0
148115,13741,2024-01-02,Audio,450.31,0.05,Transferencia,55.0
129856,13327,2024-01-02,Audio,412.72,0.0,Efectivo,35.0
117934,12807,2024-01-02,Audio,129.14,0.0,Billetera Digital,65.0
118849,10975,2024-01-02,Hogar,282.03,0.0,Transferencia,35.0
113888,11923,2024-01-02,Electro,387.99,0.0,Tarjeta de Crédito,22.0
121003,12400,2024-01-02,Hogar,233.58,0.0,Billetera Digital,22.0
139876,10885,2024-01-02,Audio,918.4,0.05,Billetera Digital,35.0
120155,13894,2024-01-02,Audio,170.29,0.05,Billetera Digital,28.0
147413,11147,2024-01-02,Audio,275.54,0.0,Transferencia,65.0
124939,14673,2024-01-02,Audio,412.34,0.0,Tarjeta de Crédito,42.0
110767,10459,2024-01-02,Audio,971.35,0.0,Transferencia,28.0
124747,14718,2024-01-02,Deportes,452.75,0.0,Transferencia,22.0
109292,12686,2024-01-03,Deportes,150.13,0.1,Billetera Digital,42.0
103823,10368,2024-01-03,Moda,101.05,0.05,Tarjeta de Crédito,22.0
134328,10067,2024-01-03,Audio,118.89,0.0,Tarjeta de Crédito,28.0
120993,14760,2024-01-03,Electro,847.53,0.0,Billetera Digital,35.0
126892,10088,2024-01-03,Moda,714.12,0.0,Transferencia,35.0
119338,10122,2024-01-03,Deportes,209.96,0.0,Efectivo,28.0
129459,13851,2024-01-03,Moda,580.96,0.1,Tarjeta de Crédito,65.0
138088,11403,2024-01-03,Electro,265.93,0.2,Efectivo,55.0
138574,10506,2024-01-03,Hogar,96.43,0.1,Transferencia,35.0
105467,14130,2024-01-03,Moda,1552.44,0.0,Billetera Digital,22.0
140257,12000,2024-01-03,Deportes,402.47,0.05,Transferencia,28.0
147594,12883,2024-01-03,Hogar,542.18,0.0,Efectivo,42.0
